bank_issue,tenor,unit,type,interest
vcb,0,,offline,0.001
vcb,7,day,offline,0.002
vcb,14,day,offline,0.002
vcb,1,month,offline,0.031
vcb,2,month,offline,0.031
vcb,3,month,offline,0.034
vcb,6,month,offline,0.04
vcb,9,month,offline,0.04
vcb,12,month,offline,0.058
vcb,24,month,offline,0.057
vcb,36,month,offline,0.054
pvc,3,month,offline,0.0395
pvc,6,month,offline,0.058
pvc,9,month,offline,0.059
pvc,12,month,offline,0.064
pvc,13,month,offline,0.064
pvc,18,month,offline,0.067
pvc,24,month,offline,0.068
pvc,36,month,offline,0.068
pvc,48,month,offline,0.068
pvc,60,month,offline,0.068
bidv,0,,offline,0.001
bidv,1,month,offline,0.031
bidv,2,month,offline,0.031
bidv,3,month,offline,0.034
bidv,5,month,offline,0.034
bidv,6,month,offline,0.04
bidv,9,month,offline,0.04
bidv,12,month,offline,0.058
bidv,13,month,offline,0.058
bidv,15,month,offline,0.058
bidv,18,month,offline,0.058
bidv,24,month,offline,0.058
bidv,36,month,offline,0.058
scb,1,month,online,0.04
scb,2,month,online,0.04
scb,3,month,online,0.04
scb,4,month,online,0.04
scb,5,month,online,0.04
scb,6,month,online,0.0665
scb,7,month,online,0.067
scb,8,month,online,0.0675
scb,9,month,online,0.068
scb,10,month,online,0.0685
scb,11,month,online,0.069
scb,12,month,online,0.0695
scb,13,month,online,0.07
scb,15,month,online,0.0705
scb,18,month,online,0.0705
scb,24,month,online,0.0705
scb,36,month,online,0.0705
scb,6,month,offline,0.066
scb,7,month,offline,0.0665
scb,8,month,offline,0.067
scb,9,month,offline,0.0675
scb,10,month,offline,0.068
scb,11,month,offline,0.0685
scb,12,month,offline,0.069
scb,13,month,offline,0.0695
scb,15,month,offline,0.07
scb,18,month,offline,0.07
scb,24,month,offline,0.07
scb,36,month,offline,0.07
donga,1,week,offline,0.002
donga,2,week,offline,0.002
donga,3,week,offline,0.002
donga,1,month,offline,0.036
donga,2,month,offline,0.036
donga,3,month,offline,0.036
donga,4,month,offline,0.036
donga,5,month,offline,0.036
donga,6,month,offline,0.055
donga,7,month,offline,0.055
donga,8,month,offline,0.055
donga,9,month,offline,0.057
donga,10,month,offline,0.057
donga,11,month,offline,0.057
donga,12,month,offline,0.06
donga,13,month,offline,0.065
donga,18,month,offline,0.063
donga,24,month,offline,0.063
donga,36,month,offline,0.063
nama,2,week,offline,0.002
nama,3,week,offline,0.002
nama,1,month,offline,0.0395
nama,2,month,offline,0.0395
nama,3,month,offline,0.0395
nama,4,month,offline,0.0395
nama,5,month,offline,0.0395
nama,6,month,offline,0.063
nama,7,month,offline,0.064
nama,8,month,offline,0.0645
nama,9,month,offline,0.064
nama,10,month,offline,0.064
nama,11,month,offline,0.064
nama,12,month,offline,0.068
nama,13,month,offline,
nama,14,month,offline,0.069
nama,15,month,offline,0.069
nama,16,month,offline,0.069
nama,17,month,offline,0.069
nama,18,month,offline,0.07
nama,19,month,offline,0.07
nama,20,month,offline,0.07
nama,21,month,offline,0.07
nama,22,month,offline,0.07
nama,23,month,offline,0.07
nama,24,month,offline,
nama,25,month,offline,0.07
nama,26,month,offline,0.07
nama,27,month,offline,0.07
nama,28,month,offline,0.07
nama,29,month,offline,0.07
nama,30,month,offline,0.066
nama,31,month,offline,0.066
nama,32,month,offline,0.066
nama,33,month,offline,0.066
nama,34,month,offline,0.066
nama,35,month,offline,0.066
nama,36,month,offline,0.066
