bank_issue,tenor,unit,type,from_amount,to_amount,interest,is_default
vcb,0,,offline,0,1e+19,0.001,True
vcb,7,day,offline,0,1e+19,0.002,True
vcb,14,day,offline,0,1e+19,0.002,True
vcb,1,month,offline,0,1e+19,0.029,True
vcb,2,month,offline,0,1e+19,0.029,True
vcb,3,month,offline,0,1e+19,0.032,True
vcb,6,month,offline,0,1e+19,0.038,True
vcb,9,month,offline,0,1e+19,0.038,True
vcb,12,month,offline,0,1e+19,0.055,True
vcb,24,month,offline,0,1e+19,0.053,True
vcb,36,month,offline,0,1e+19,0.053,True
pvc,1,week,offline,0,1e+19,0.0,True
pvc,2,week,offline,0,1e+19,0.0,True
pvc,3,week,offline,0,1e+19,0.0,True
pvc,1,month,offline,0,1e+19,0.03,True
pvc,2,month,offline,0,1e+19,0.03,True
pvc,3,month,offline,0,1e+19,0.03,True
pvc,4,month,offline,0,1e+19,0.03,True
pvc,5,month,offline,0,1e+19,0.03,True
pvc,6,month,offline,0,1e+19,0.05,True
pvc,7,month,offline,0,1e+19,0.05,True
pvc,8,month,offline,0,1e+19,0.05,True
pvc,9,month,offline,0,1e+19,0.05,True
pvc,10,month,offline,0,1e+19,0.05,True
pvc,11,month,offline,0,1e+19,0.05,True
pvc,12,month,offline,0,1e+19,0.06,True
pvc,13,month,offline,0,1e+19,0.06,True
pvc,15,month,offline,0,1e+19,0.06,True
pvc,18,month,offline,0,1e+19,0.06,True
pvc,24,month,offline,0,1e+19,0.06,True
pvc,36,month,offline,0,1e+19,0.06,True
pvc,1,week,online,0,1e+19,0.0,True
pvc,2,week,online,0,1e+19,0.0,True
pvc,3,week,online,0,1e+19,0.0,True
pvc,1,month,online,0,1e+19,0.03,True
pvc,2,month,online,0,1e+19,0.03,True
pvc,3,month,online,0,1e+19,0.03,True
pvc,4,month,online,0,1e+19,0.03,True
pvc,5,month,online,0,1e+19,0.03,True
pvc,6,month,online,0,1e+19,0.05,True
pvc,7,month,online,0,1e+19,0.05,True
pvc,8,month,online,0,1e+19,0.05,True
pvc,9,month,online,0,1e+19,0.05,True
pvc,10,month,online,0,1e+19,0.05,True
pvc,11,month,online,0,1e+19,0.05,True
pvc,12,month,online,0,1e+19,0.06,True
pvc,15,month,online,0,1e+19,0.0,True
pvc,18,month,online,0,1e+19,0.06,True
pvc,24,month,online,0,1e+19,0.06,True
pvc,36,month,online,0,1e+19,0.06,True
bidv,0,,offline,0,1e+19,0.001,True
bidv,1,month,offline,0,1e+19,0.031,True
bidv,2,month,offline,0,1e+19,0.031,True
bidv,3,month,offline,0,1e+19,0.034,True
bidv,5,month,offline,0,1e+19,0.034,True
bidv,6,month,offline,0,1e+19,0.04,True
bidv,9,month,offline,0,1e+19,0.04,True
bidv,12,month,offline,0,1e+19,0.056,True
bidv,13,month,offline,0,1e+19,0.056,True
bidv,15,month,offline,0,1e+19,0.056,True
bidv,18,month,offline,0,1e+19,0.056,True
bidv,24,month,offline,0,1e+19,0.056,True
bidv,36,month,offline,0,1e+19,0.056,True
scb,1,month,online,0,1e+19,0.04,True
scb,2,month,online,0,1e+19,0.04,True
scb,3,month,online,0,1e+19,0.04,True
